iitem,iname,date,index,avgprice,upt
-2114,Nuggets,27/12/04 0:00,0.815038047,10818,4.806250696
-2054,2-pc Chicken,27/12/04 0:00,0.869810894,11545,104.6109164
-2045,Chicken Burger,27/12/04 0:00,0.678068259,9000,15.99941742
-2030,Large Big Burger,27/12/04 0:00,1,13273,13.48920093
-2020,Double Cheeseburger,27/12/04 0:00,0.910947035,12091,10.25504828
-2010,Cheeseburger,27/12/04 0:00,0.687286348,9122.3517,49.66887417
-2114,Nuggets,03/01/05 0:00,0.815038047,10818,4.764666397
-2054,2-pc Chicken,03/01/05 0:00,0.869810894,11545,103.2958709
-2045,Chicken Burger,03/01/05 0:00,0.678068259,9000,16.3145018
-2030,Large Big Burger,03/01/05 0:00,1,13273,13.78845084
-2020,Double Cheeseburger,03/01/05 0:00,0.910947035,12091,11.14573488
-2010,Cheeseburger,03/01/05 0:00,0.68563199,9100.3934,53.97700854
-2114,Nuggets,10/01/05 0:00,0.815038047,10818,4.7767026
-2054,2-pc Chicken,10/01/05 0:00,0.869810894,11545,99.67918187
-2045,Chicken Burger,10/01/05 0:00,0.678068259,9000,16.20574002
-2030,Large Big Burger,10/01/05 0:00,1,13273,13.63086656
-2020,Double Cheeseburger,10/01/05 0:00,0.910947035,12091,10.13292524
-2010,Cheeseburger,10/01/05 0:00,0.685461471,9098.1301,53.41127357
-2114,Nuggets,17/01/05 0:00,0.815038047,10818,4.399640346
-2054,2-pc Chicken,17/01/05 0:00,0.869810894,11545,100.6303888
-2045,Chicken Burger,17/01/05 0:00,0.678068259,9000,17.21605596
-2030,Large Big Burger,17/01/05 0:00,1,13273,14.35637252
-2020,Double Cheeseburger,17/01/05 0:00,0.910947035,12091,10.68862568
-2010,Cheeseburger,17/01/05 0:00,0.685090763,9093.2097,55.24140067
-2114,Nuggets,24/01/05 0:00,0.815038047,10818,4.375818724
-2054,2-pc Chicken,24/01/05 0:00,0.869810894,11545,99.79549319
-2045,Chicken Burger,24/01/05 0:00,0.678068259,9000,16.68803478
-2030,Large Big Burger,24/01/05 0:00,1,13273,13.92527662
-2020,Double Cheeseburger,24/01/05 0:00,0.910947035,12091,10.45876418
-2010,Cheeseburger,24/01/05 0:00,0.684966247,9091.557,54.42076145
-2114,Nuggets,31/01/05 0:00,0.815038047,10818,4.198151362
-2054,2-pc Chicken,31/01/05 0:00,0.869810894,11545,98.16138599
-2045,Chicken Burger,31/01/05 0:00,0.678068259,9000,15.75732646
-2030,Large Big Burger,31/01/05 0:00,1,13273,13.41541823
-2020,Double Cheeseburger,31/01/05 0:00,0.910947035,12091,9.913790124
-2010,Cheeseburger,31/01/05 0:00,0.684770768,9088.9624,53.70833823
-2114,Nuggets,07/02/05 0:00,0.815038047,10818,4.385627452
-2054,2-pc Chicken,07/02/05 0:00,0.869810894,11545,98.41203543
-2045,Chicken Burger,07/02/05 0:00,0.678068259,9000,15.53576728
-2030,Large Big Burger,07/02/05 0:00,1,13273,12.38904425
-2020,Double Cheeseburger,07/02/05 0:00,0.910947035,12091,9.426037092
-2010,Cheeseburger,07/02/05 0:00,0.684961584,9091.4951,53.21165167
-2114,Nuggets,14/02/05 0:00,0.815038047,10818,4.557039529
-2054,2-pc Chicken,14/02/05 0:00,0.869810894,11545,97.2137696
-2045,Chicken Burger,14/02/05 0:00,0.678068259,9000,15.21103279
-2030,Large Big Burger,14/02/05 0:00,1,13273,13.42030621
-2020,Double Cheeseburger,14/02/05 0:00,0.910947035,12091,10.29068416
-2010,Cheeseburger,14/02/05 0:00,0.685187554,9094.4944,56.45860305
-2114,Nuggets,21/02/05 0:00,0.815038047,10818,4.35408155
-2054,2-pc Chicken,21/02/05 0:00,0.869810894,11545,99.02652341
-2045,Chicken Burger,21/02/05 0:00,0.678068259,9000,15.72989948
-2030,Large Big Burger,21/02/05 0:00,1,13273,14.32517408
-2020,Double Cheeseburger,21/02/05 0:00,0.910947035,12091,10.46832373
-2010,Cheeseburger,21/02/05 0:00,0.685009305,9092.1285,55.53864507
-2114,Nuggets,28/02/05 0:00,0.815038047,10818,4.399174895
-2054,2-pc Chicken,28/02/05 0:00,0.869810894,11545,97.27026002
-2045,Chicken Burger,28/02/05 0:00,0.678068259,9000,16.05698837
-2030,Large Big Burger,28/02/05 0:00,1,13273,14.24535965
-2020,Double Cheeseburger,28/02/05 0:00,0.910947035,12091,10.43158677
-2010,Cheeseburger,28/02/05 0:00,0.684591871,9086.5879,55.33261399
-2114,Nuggets,07/03/05 0:00,0.815038047,10818,4.724612651
-2054,2-pc Chicken,07/03/05 0:00,0.869810894,11545,94.28381423
-2045,Chicken Burger,07/03/05 0:00,0.678068259,9000,16.1672407
-2030,Large Big Burger,07/03/05 0:00,1,13273,13.88433963
